Depth_m;qt_MPa;fs_kPa;u2_kPa;FR_percent
1,006;0,015;0,725;0,0;4,833333333333333
1,015;0,01;0,778;0,0;7,780000000000001
1,023;0,0102;0,867;1,0;8,5
1,031;0,00726;0,726;1,3;10,0
1,04;0,00726;0,889;1,3;12,245179063360883
1,049;0,00526;0,71;1,3;13,498098859315588
1,057;0,00526;0,703;1,3;13,365019011406845
1,066;0,00546;0,423;2,3;7,747252747252747
1,074;0,00554;0,544;2,7;9,819494584837546
1,083;0,00754;0,704;2,7;9,3368700265252
1,092;0,01254;0,707;2,7;5,637958532695373
1,1;0,01554;0,71;2,7;4,568854568854569
1,11;0,022539999999999998;0,868;2,7;3,8509316770186333
1,119;0,030719999999999997;1,087;3,6;3,5384114583333335
1,128;0,035800000000000005;1,04;4,0;2,9050279329608935
1,137;0,0478;0,872;4,0;1,8242677824267781
1,147;0,0528;0,774;4,0;1,465909090909091
1,156;0,05964;0,908;3,2;1,522468142186452
1,166;0,06454;0,906;2,7;1,4037806011775642
1,175;0,06938000000000001;0,938;1,9;1,3519746324589215
1,185;0,06408;1,059;0,4;1,652621722846442
1,194;0,05882;0,906;-0,9;1,5402924175450527
1,203;0,05358;0,905;-2,1;1,6890630832400149
1,213;0,0461;0,902;-4,5;1,9566160520607376
1,222;0,0391;0,913;-4,5;2,3350383631713556
1,232;0,031200000000000002;1,052;-4,0;3,371794871794872
1,242;0,0262;0,722;-4,0;2,7557251908396942
1,251;0,0262;0,877;-4,0;3,347328244274809
1,261;0,0262;0,722;-4,0;2,7557251908396942
1,271;0,02938;0,868;-3,1;2,9543907420013618
1,28;0,03146;0,534;-2,7;1,697393515575334
1,29;0,02946;0,883;-2,7;2,997284453496266
1,3;0,02946;0,714;-2,7;2,423625254582485
1,309;0,03146;0,716;-2,7;2,275905912269548
1,319;0,03646;0,899;-2,7;2,4657158529895775
1,328;0,041460000000000004;0,905;-2,7;2,1828268210323203
1,338;0,049460000000000004;0,582;-2,7;1,1767084512737565
1,348;0,05664;0,537;-1,8;0,948093220338983
1,357;0,05674;0,536;-1,3;0,9446598519562919
1,367;0,053739999999999996;0,533;-1,3;0,9918124302195759
1,377;0,049580000000000006;0,665;-2,1;1,3412666397741024
1,387;0,05146;0,551;-2,7;1,0707345511076565
1,396;0,04646;0,751;-2,7;1,6164442531209644
1,406;0,04446;0,74;-2,7;1,6644174538911383
1,416;0,03946;0,552;-2,7;1,398884946781551
1,426;0,034460000000000005;0,617;-2,7;1,790481717933836
1,436;0,03146;0,801;-2,7;2,5460902733630006
1,446;0,03146;1,365;-2,7;4,338842975206612
1,456;0,02962;1,738;-1,9;5,8676569885212695
1,466;0,03174;1,928;-1,3;6,074354127284184
1,476;0,03974;1,741;-1,3;4,3809763462506295
1,486;0,061739999999999996;1,622;-1,3;2,6271460965338522
1,496;0,08374000000000001;1,73;-1,3;2,0659183186052066
1,506;0,09674;1,707;-1,3;1,7645234649576185
1,516;0,1051;1,421;-4,5;1,3520456707897244
1,526;0,10934;1,16;-8,3;1,0609109200658495
1,536;0,10696;1,182;-10,2;1,1050860134629767
1,546;0,10854;1,27;-12,3;1,170075548185001
1,556;0,094;1,175;-15,0;1,25
1,566;0,07880000000000001;1,303;-16,0;1,6535532994923854
1,576;0,0708;1,533;-16,0;2,1652542372881354
1,586;0,0688;1,404;-16,0;2,0406976744186047
1,597;0,0688;1,153;-16,0;1,6758720930232558
1,607;0,06096;0,767;-15,2;1,2582020997375327
1,617;0,05106;0,697;-14,7;1,3650607128867998
1,627;0,047220000000000005;0,992;-13,9;2,1008047437526467
1,637;0,042319999999999997;1,536;-13,4;3,629489603024575
1,648;0,034319999999999996;2,058;-13,4;5,996503496503497
1,658;0,03948;2,469;-12,6;6,253799392097263
1,668;0,0616;2,859;-12,0;4,641233766233766
1,679;0,09476;2,643;-11,2;2,7891515407344873
1,689;0,12186;2,287;-10,7;1,8767438043656655
1,699;0,13885999999999998;1,961;-10,7;1,4122137404580153
1,71;0,16086;1,788;-10,7;1,1115255501678478
1,721;0,16586;1,729;-10,7;1,0424454359098034
1,731;0,14854;1,419;-12,3;0,9552982361653427
1,741;0,1409;1,418;-15,5;1,00638750887154
1,752;0,13236;1,401;-18,2;1,0584768812330008
1,762;0,12212;1,226;-19,4;1,003930560104815
1,773;0,11499999999999999;1,611;-20,0;1,4008695652173915
1,784;0,11;1,976;-20,0;1,7963636363636362
1,794;0,093;2,141;-20,0;2,3021505376344087
1,805;0,09516000000000001;2,315;-19,2;2,4327448507776372
1,815;0,10026;2,307;-18,7;2,301017354877319
1,826;0,10039999999999999;1,751;-18,0;1,7440239043824701
1,837;0,10052;1,769;-17,4;1,7598487863111818
1,847;0,10067999999999999;1,938;-16,6;1,924910607866508
1,858;0,1078;2,132;-16,0;1,9777365491651204
1,869;0,1228;2,136;-16,0;1,7394136807817588
1,879;0,13596000000000003;1,973;-15,2;1,451162106501912
1,889;0,14606;2,546;-14,7;1,7431192660550456
1,9;0,15306;2,701;-14,7;1,764667450672939
1,911;0,14806;2,26;-14,7;1,5264082128866674
1,922;0,16322;1,994;-13,9;1,2216640117632642
1,932;0,16832000000000003;1,951;-13,4;1,159101711026616
1,943;0,15832000000000002;1,948;-13,4;1,2304194037392622
1,954;0,15532;1,818;-13,4;1,1704867370589749
1,965;0,13832;1,638;-13,4;1,1842105263157896
1,976;0,13832;1,584;-13,4;1,1451706188548296
1,987;0,13832;1,707;-13,4;1,2340948525159052
1,998;0,12348;1,637;-12,6;1,3257207644962747
2,009;0,1186;1,452;-12,0;1,224283305227656
2,02;0,12174;1,37;-11,3;1,1253491046492525
2,031;0,13386;1,467;-10,7;1,0959211116091438
2,042;0,14386;1,407;-10,7;0,9780341999165857
2,053;0,14686;1,746;-10,7;1,1888873757319898
2,064;0,144;2,261;-10,0;1,570138888888889
2,075;0,13412000000000002;2,348;-9,4;1,750671040858932
2,086;0,13728;2,365;-8,6;1,7227564102564104
2,097;0,1544;2,375;-8,0;1,5382124352331605
2,109;0,16140000000000002;2,408;-8,0;1,4919454770755884
2,12;0,1744;2,584;-8,0;1,481651376146789
2,131;0,19654000000000002;2,77;-7,3;1,4093823140327668
2,142;0,23152;2,684;-7,4;1,1592950932964756
2,153;0,2604;2,326;-8,0;0,8932411674347157
2,165;0,2584;2,022;-8,0;0,7825077399380802
2,176;0,2634;1,849;-8,0;0,701974183750949
2,187;0,23326;1,822;-8,7;0,781102632255852
2,198;0,23128;1,915;-8,6;0,8280006918021446
2,209;0,1714;1,902;-8,0;1,1096849474912485
2,221;0,16940000000000002;1,824;-8,0;1,0767414403778037
2,232;0,17454;1,722;-7,3;0,9865933310415951
2,243;0,16466;1,662;-6,7;1,0093526053686384
2,255;0,16666;1,545;-6,7;0,9270370814832594
2,266;0,1868;1,738;-6,0;0,930406852248394
2,278;0,18494;2,107;-5,3;1,1392884178652538
2,289;0,17694;2,252;-5,3;1,272747824121171
2,3;0,19206;2,354;-4,7;1,2256586483390608
2,312;0,2272;1,971;-4,0;0,8675176056338028
2,323;0,22920000000000001;1,749;-4,0;0,7630890052356021
2,334;0,2192;1,807;-4,0;0,8243613138686131
2,346;0,2192;1,854;-4,0;0,8458029197080292
2,357;0,2072;1,691;-4,0;0,8161196911196912
2,369;0,2042;1,564;-4,0;0,7659157688540646
2,38;0,19034;1,505;-3,3;0,7906903435956708
2,391;0,19746;1,374;-2,7;0,6958371315709511
2,403;0,19046;1,296;-2,7;0,680457838916308
2,414;0,17759999999999998;1,079;-2,0;0,6075450450450451
2,426;0,17074;0,819;-1,3;0,4796767014173597
2,437;0,17573999999999998;0,946;-1,3;0,5382952088312281
2,448;0,19274;1,724;-1,3;0,8944692331638477
2,46;0,17285999999999999;2,118;-0,7;1,2252690038181187
2,472;0,173;2,267;0,0;1,3104046242774565
2,483;0,173;2,277;0,0;1,316184971098266
2,495;0,181;2,271;0,0;1,254696132596685
2,506;0,19206;1,878;5,3;0,9778194314276787
2,527;0,27354;1,411;17,7;0,5158294947722454
2,535;0,28348;1,54;17,4;0,5432482009312827
2,544;0,28032;1,694;16,6;0,6043093607305936
2,554;0,2702;1,379;16,0;0,5103626943005182
2,564;0,26306;1,342;15,3;0,5101497757165666
2,575;0,2478;1,493;14,0;0,6025020177562551
2,586;0,22252;1,681;12,6;0,7554377134639584
